date,temp_max,temp_min,wind,humidity,solar_rad,rain
2020-09-12,20.4,7,1.611.111.111.111.110,82,0,0
2020-09-13,22,10.3,1.611.111.111.111.110,86,0,0
2020-09-14,17,5.2,1,68,0,0
2020-09-15,18,4,11.111.111.111.111.100,75,0,0
2020-09-16,21.7,5,9.444.444.444.444.440,74,0,4
2020-09-17,27,4.3,888.888.888.888.889,73,0,0
2020-09-18,24.8,8.8,1.611.111.111.111.110,61,0,0
2020-09-19,18.3,3.8,16.944.444.444.444.400,64,0,0
2020-09-20,19.8,-1,8.055.555.555.555.550,62,0,0
2020-09-21,20,4,10.555.555.555.555.500,61,0,9
2020-09-22,22.8,4.4,1.25,67,0,0
2020-09-23,25,9.3,7.222.222.222.222.220,64,0,0
2020-09-24,28.4,10.4,1.5,68,0,0
2020-09-25,26.1,16.2,2.5,81,0,6.8
2020-09-26,22,18,39.722.222.222.222.200,87,0,12.8
2020-09-27,19.6,13.5,31.111.111.111.111.100,93,0,4
2020-09-28,23.4,7,13.333.333.333.333.300,70,0,0
2020-09-29,26.3,8.5,20.833.333.333.333.300,67,0,0
2020-09-30,28.2,12.8,1.25,78,0,0
2020-10-01,24.9,14.5,31.111.111.111.111.100,65,0,0
2020-10-02,19.5,11.1,4.333.333.333.333.330,61,0,0
2020-10-03,16.1,7.6,37.222.222.222.222.200,61,0,0
2020-10-04,15.2,7.2,2.305.555.555.555.550,94,0,0.3
2020-10-05,18.5,11.7,2.111.111.111.111.110,84,0,0.3
2020-10-06,21.5,2.9,7.222.222.222.222.220,77,0,0
2020-10-07,26.3,10,6.944.444.444.444.440,70,0,0
2020-10-08,25.6,11.6,8.611.111.111.111.110,69,0,0
2020-10-09,26.6,8.4,19.166.666.666.666.600,61,0,0
2020-10-10,24.7,4.5,13.611.111.111.111.100,64,0,0
2020-10-11,24.1,8.5,19.444.444.444.444.400,65,0,0
2020-10-12,22,6.8,15.555.555.555.555.500,76,0,0
2020-10-13,26.4,7.2,8.055.555.555.555.550,69,0,0
2020-10-14,28.1,9.4,1,67,0,0
2020-10-15,28,14.7,1.5,65,0,0
2020-10-16,29,15.2,19.166.666.666.666.600,70,0,0
2020-10-17,29.5,18,16.944.444.444.444.400,72,0,0
2020-10-18,35.7,20,21.666.666.666.666.600,70,0,0
2020-10-19,35.6,20.5,29.166.666.666.666.600,61,0,0
2020-10-20,20.8,11.5,38.333.333.333.333.300,86,0,6.8
2020-10-21,19.8,11.6,34.722.222.222.222.200,82,0,0.3
2020-10-22,24,15.8,2.638.888.888.888.880,81,0,0
2020-10-23 11:44,26.98,18.2,1.027.777.777.777.770,96,0,0
2020-10-24 0:45,27.73,20.17,8.333.333.333.333.330,83,0,0
2020-10-25 0:45,32.03,18.01,15.833.333.333.333.300,97,0,0
2020-10-26 0:45,23.29,13.22,27.222.222.222.222.200,71,0,0
2020-10-27 0:45,22.85,8.13,0.75,63,0,0
2020-10-28 21:57,24.49,10.51,1.972.222.222.222.220,78,0,0
2020-10-29 16:45,20.9,7.27,1.777.777.777.777.770,73,0,0
2020-10-30 0:45,19.79,6.52,13.611.111.111.111.100,66,0,0
