date,temp_max,temp_min,wind,humidity,solar_rad,rain
2020-09-12,20.4,7,1.61,82,14.76,0
2020-09-13,22,10.3,1.61,86,13.91,0
2020-09-14,17,5.2,1,68,14.08,0
2020-09-15,18,4,1.11,75,15.45,0
2020-09-16,21.7,5,0.94,74,17.01,4
2020-09-17,27,4.3,0.89,73,19.98,0
2020-09-18,24.8,8.8,1.61,61,16.9,0
2020-09-19,18.3,3.8,1.69,64,16.21,0
2020-09-20,19.8,-1,0.81,62,19.57,0
2020-09-21,20,4,1.06,61,17.29,9
2020-09-22,22.8,4.4,1.25,67,18.68,0
2020-09-23,25,9.3,0.72,64,17.38,0
2020-09-24,28.4,10.4,1.5,68,18.74,0
2020-09-25,26.1,16.2,2.5,81,14.0,6.8
2020-09-26,22,18,3.97,87,8.96,12.8
2020-09-27,19.6,13.5,3.11,93,11.14,4
2020-09-28,23.4,7,1.33,70,18.39,0
2020-09-29,26.3,8.5,2.08,67,19.29,0
2020-09-30,28.2,12.8,1.25,78,18.06,0
2020-10-01,24.9,14.5,3.11,65,14.94,0
2020-10-02,19.5,11.1,4.33,61,13.51,0
2020-10-03,16.1,7.6,3.72,61,13.68,0
2020-10-04,15.2,7.2,2.31,94,13.36,0.3
2020-10-05,18.5,11.7,2.11,84,12.39,0.3
2020-10-06,21.5,2.9,0.72,77,20.62,0
2020-10-07,26.3,10,0.69,70,19.42,0
2020-10-08,25.6,11.6,0.86,69,18.11,0
2020-10-09,26.6,8.4,1.92,61,20.76,0
2020-10-10,24.7,4.5,1.36,64,22.0,0
2020-10-11,24.1,8.5,1.94,65,19.45,0
2020-10-12,22,6.8,1.56,76,19.3,0
2020-10-13,26.4,7.2,0.81,69,21.81,0
2020-10-14,28.1,9.4,1,67,21.64,0
2020-10-15,28,14.7,1.5,65,18.35,0
2020-10-16,29,15.2,1.92,70,18.79,0
2020-10-17,29.5,18,1.69,72,17.24,0
2020-10-18,35.7,20,2.17,70,20.25,0
2020-10-19,35.6,20.5,2.92,61,19.96,0
2020-10-20,20.8,11.5,3.83,86,15.74,6.8
2020-10-21,19.8,11.6,3.47,82,14.85,0.3
2020-10-22,24,15.8,2.64,81,14.92,0
2020-10-23,26.98,18.2,1.03,96,15.51,0
2020-10-24,27.73,20.17,0.83,83,14.46,0
2020-10-25,32.03,18.01,1.58,97,19.77,0
2020-10-26,23.29,13.22,2.72,71,16.83,0
2020-10-27,22.85,8.13,0.75,63,20.44,0
2020-10-28,24.49,10.51,1.97,78,20.0,0
2020-10-29,20.9,7.27,1.78,73,19.83,0
2020-10-30,19.79,6.52,1.36,66,19.64,0
2020-10-31,23.49,8.83,1.31,63,20.73,0
2020-11-01,24.19,10.43,1.28,59,20.16,0
2020-11-02,24.77,9.93,1.22,61,21.01,0
2020-11-03,25.14,11.26,2.06,63,20.39,0
2020-11-04,24.92,10.74,2.67,55,20.69,0
2020-11-05,26.04,10.66,2.19,55,21.62,0
2020-11-06,27.84,12.5,1.61,64,21.66,0
2020-11-07,28.72,14.49,1.75,66,20.94,0
2020-11-08,27.99,14.93,2.06,60,20.12,0
2020-11-09,22.13,17.08,1.75,80,12.55,0.39
2020-11-10,25.79,14.46,1.72,73,18.86,0.13
2020-11-11,27.46,12.03,1.44,71,22.07,0
2020-11-12,29.11,14.35,1.14,66,21.65,0
2020-11-13,30.87,14.44,1.19,59,22.91,0
2020-11-14,30.34,15.62,0.86,86,21.74,0.27
2020-11-15,28.81,17.53,1.97,67,19.08,0
2020-11-16,28.53,12.49,1.53,54,22.82,0
2020-11-17,31.11,11.35,0.92,44,25.39,0
2020-11-18,28.71,15.23,1.94,67,21.02,4.18
2020-11-19,27.93,14.08,2.08,66,21.36,0.82
2020-11-20,28.06,11.44,1.47,57,23.45,0
2020-11-21,29.71,12.85,1.53,55,23.67,0
2020-11-22,31.39,14.37,1.78,50,23.83,0
2020-11-23,35.6,14.19,2.53,46,26.78,0
2020-11-24,39.9,19.98,3.31,41,25.89,0
2020-11-25,30.63,22,2.08,84,17.07,1.23
2020-11-26,34.53,19.57,1.72,65,22.52,0
2020-11-27,34.53,16.76,2.14,52,24.58,0
2020-11-28,33.93,18.91,1.83,89,22.64,35.75
2020-11-29,32.58,15.69,1.28,85,24.05,0
2020-11-30,27.92,15.89,2.19,59,20.33,0
2020-12-01,30.88,14.72,1.94,75,23.59,0
2020-12-02,31.61,18.68,1.69,91,21.13,33.62
2020-12-03,29.44,16.02,1.5,73,21.56,3.76
2020-12-04,25.11,14.83,2.22,65,18.89,0.17
2020-12-05,22.85,8.73,1.56,63,22.16,0
2020-12-06,26.11,9.9,1.28,63,23.77,0
2020-12-07,28.33,11.72,1.31,61,24.09,0
2020-12-08,30.31,13.69,1.39,66,24.12,0
2020-12-09,33.53,15.98,1.25,64,24.81,0
2020-12-10,36.05,17.58,2.97,54,25.47,0
2020-12-11,30.46,18.92,1.94,72,20.15,0
2020-12-12,32.35,16.81,1.94,88,23.4,9.07
2020-12-13,29.4,14.76,1.14,96,22.72,12.87
2020-12-14,29.46,12.81,1.75,72,24.24,0
2020-12-15,33.16,13.88,1.53,74,26.1,0
2020-12-16,31.82,14.39,1.44,65,24.83,0
2020-12-17,34.12,17.01,1.36,62,24.6,0
2020-12-18,35.89,18.5,2.03,57,24.81,0
2020-12-19,31.35,18.77,3.42,75,21.11,21.93
2020-12-20,28.31,13.55,2.42,63,22.86,0
2020-12-21,30.12,13.12,1.39,56,24.54,0
2020-12-22,32.73,13.99,1.03,53,25.76,0
2020-12-23,34.42,15.33,1.33,53,26.0,0
2020-12-24,36.45,16.37,1.64,57,26.66,0
2020-12-25,37.66,19.54,0.92,71,25.32,0
2020-12-26,37.56,21.49,1.53,67,23.84,0.29
2020-12-27,36.32,19.27,1.44,68,24.54,0
